supplier_name,raw_sku,corrected_sku
pro music australia,A03R,AQ3R
pro music australia,AGB7C,AGB70C
pro music australia,AQREGRED,AUGREGRED
pro music australia,CSCHR1,GSCHR1
pro music australia,FS7288,PS7288
pro music australia,GAB12,GT140DR10
pro music australia,GAC501B,GSC016A
pro music australia,JSSCLG,GTGS1
pro music australia,M2105,MN105
pro music australia,NASHU,NASHUA
pro music australia,OSP51000,OSPS1000
pro music australia,SIC1150,SICS1150
pro music australia,SILM2,SILMN2
pro music australia,TOCIDGIDURBOSM,TOCDIDGDUROSM
pro music australia,WFEMCBK,WFMCBL
pro music australia,WSCOREK,WSCORK
pro music australia,WSCREMBK,WSCREAM
